10000 3
1 1 3 
9 13 2
0 3 3
0 3 1
6 9 3
10 14 2
5 7 3
12 15 2
12 16 1
4 6 3
22 1 2
4 6 3
5 9 2
15 18 3
12 13 2
7 9 2
5 7 1
11 16 1
23 1 1
19 23 2
21 23 1
19 23 2
1 4 3
2 5 3
17 20 3
1 4 2
11 15 3
2 5 2
23 3 3
6 9 1
14 18 1
12 15 3
18 21 2
5 8 1
2 6 1
3 8 2
4 7 1
6 11 2
5 7 3
21 0 3
11 15 3
1 2 3
3 6 3
5 8 3
11 15 1
0 3 1
8 9 3
14 17 1
17 21 2
10 13 3
20 0 2
5 7 1
6 9 2
10 13 1
8 11 1
13 16 3
2 6 1
7 11 3
2 6 2
16 18 1
13 16 2
18 21 2
7 12 3
17 21 3
22 2 3
18 21 1
23 1 3
6 10 2
11 15 2
6 10 3
23 1 1
22 0 3
23 3 1
9 13 2
2 4 2
1 4 1
17 21 1
1 3 2
7 10 3
3 7 2
3 5 3
15 18 3
2 5 3
21 23 1
5 9 3
5 11 2
15 18 1
19 21 1
6 8 2
9 12 1
14 17 1
1 4 1
20 23 3
23 2 3
20 23 3
0 3 1
17 18 1
1 4 1
23 1 1
21 23 1
16 19 1
20 22 3
8 10 1
8 11 1
18 20 1
6 7 1
23 1 3
8 12 2
17 21 2
9 12 3
2 5 3
13 16 3
12 15 1
0 3 3
16 19 1
11 13 1
0 2 3
4 8 1
18 20 3
6 9 1
6 9 1
11 13 1
5 8 1
6 11 1
22 1 3
6 7 1
17 19 2
1 4 2
9 13 3
1 4 1
8 11 3
6 9 1
9 11 1
6 10 3
8 13 3
5 9 2
16 19 1
22 1 3
6 9 2
16 19 1
7 8 1
21 1 1
2 4 1
9 12 1
3 6 1
9 12 3
1 4 3
23 0 3
14 17 3
0 4 2
0 4 2
19 21 2
20 22 1
10 12 3
14 17 2
15 18 3
19 21 1
8 10 3
21 22 3
19 23 3
16 18 3
14 16 1
13 15 1
6 10 2
4 7 2
1 2 3
2 5 1
2 6 3
17 20 1
21 23 3
3 8 3
10 12 2
11 14 3
10 13 3
10 12 2
11 14 3
17 19 3
20 0 3
14 17 3
13 16 2
8 8 1
20 0 3
10 13 2
18 19 2
4 4 3
5 8 3
16 20 3
8 12 1
5 6 3
19 23 2
16 21 3
21 23 1
4 6 2
2 4 2
10 13 3
20 0 1
8 10 3
9 8 3
0 1 2
13 15 3
17 19 3
12 14 2
4 7 1
13 17 3
18 22 2
12 14 2
4 8 2
16 18 3
23 4 2
22 0 2
11 16 1
22 2 1
6 7 2
12 14 1
19 22 1
12 14 2
5 10 3
12 17 2
6 10 1
8 13 1
21 23 1
19 23 1
21 0 1
15 20 3
3 5 1
8 12 3
19 23 1
11 14 1
4 6 1
6 10 1
20 22 1
5 6 1
23 3 2
14 17 1
15 18 1
14 21 3
1 4 2
12 16 1
9 13 3
22 23 2
7 10 3
22 2 1
12 16 3
9 12 3
10 14 3
3 6 1
9 11 3
20 0 2
5 8 1
23 3 1
23 3 1
19 23 2
1 2 3
18 19 2
5 8 3
3 7 3
8 11 1
6 9 1
19 23 2
11 15 1
0 3 2
4 6 2
4 6 2
16 18 1
20 21 3
19 21 1
23 2 1
19 23 3
0 3 1
13 16 3
20 1 2
8 11 3
19 23 2
18 20 3
14 16 3
21 1 2
3 7 3
23 3 3
21 0 3
13 14 2
7 11 1
6 10 3
17 21 1
1 6 1
8 12 1
6 11 1
3 6 1
8 11 1
11 13 3
21 1 3
17 20 3
12 14 3
22 0 3
18 21 2
0 3 2
9 13 3
14 17 1
