heuristica,aleatorio,n_cat
0.22144066588953137,0.22029481502249837,1
0.2190584798809141,0.22148268902674317,2
0.21938422485254705,0.22060099500231445,3
0.22125618113204837,0.22301435586996377,4
0.22098927502520382,0.22077342006377876,5
0.2205819149967283,0.22038060310296714,6
0.22099395492114127,0.21989543712697923,7
0.2205154220573604,0.21951854205690324,8
0.21870867488905787,0.21938685490749776,10
0.21924057812429965,0.22115625999867916,15
0.22061986685730517,0.22113856486976147,20
0.22091651312075555,0.22162936814129353,30
